epoch,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,epoch_min_val_loss,correlation_all,correlation_top3
epoch_37,Model-10,Model-08,Model-03,Model-05,Model-07,Model-02,Model-06,Model-04,Model-09,Model-01,0.054913074403627735,0.9636363636363636,0.9999999999999998
epoch_38,Model-03,Model-10,Model-08,Model-07,Model-02,Model-05,Model-06,Model-04,Model-09,Model-01,0.06244544861266817,0.9636363636363636,-0.4999999999999999
epoch_39,Model-03,Model-08,Model-10,Model-07,Model-02,Model-06,Model-05,Model-04,Model-09,Model-01,0.06133434239879716,0.9393939393939394,-0.9999999999999998
epoch_40,Model-10,Model-03,Model-08,Model-05,Model-02,Model-07,Model-06,Model-04,Model-09,Model-01,0.05855391761684708,0.9393939393939394,0.4999999999999999
epoch_41,Model-10,Model-03,Model-08,Model-07,Model-02,Model-06,Model-05,Model-04,Model-09,Model-01,0.06023389295816499,0.9757575757575757,0.4999999999999999
epoch_42,Model-10,Model-03,Model-08,Model-07,Model-02,Model-05,Model-06,Model-04,Model-09,Model-01,0.061634140189011914,0.9878787878787879,0.4999999999999999
epoch_43,Model-08,Model-03,Model-10,Model-07,Model-02,Model-06,Model-05,Model-04,Model-09,Model-01,0.06520538336768125,0.9515151515151515,-0.4999999999999999
epoch_44,Model-08,Model-10,Model-07,Model-03,Model-06,Model-02,Model-05,Model-04,Model-09,Model-01,0.05304825041846683,0.9393939393939394,0.4999999999999999
epoch_45,Model-08,Model-10,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,Model-09,Model-01,0.05842231871808569,0.9878787878787879,0.4999999999999999
epoch_46,Model-08,Model-07,Model-03,Model-10,Model-05,Model-02,Model-06,Model-04,Model-09,Model-01,0.055202391694144655,0.9030303030303031,-0.4999999999999999
epoch_47,Model-03,Model-08,Model-10,Model-07,Model-02,Model-05,Model-06,Model-04,Model-09,Model-01,0.05791353406107131,0.9515151515151515,-0.9999999999999998
epoch_48,Model-03,Model-10,Model-02,Model-07,Model-08,Model-06,Model-05,Model-04,Model-09,Model-01,0.06516823634086177,0.8787878787878788,-0.4999999999999999
epoch_49,Model-08,Model-10,Model-03,Model-02,Model-07,Model-05,Model-06,Model-04,Model-09,Model-01,0.05982670966365064,0.9757575757575757,0.4999999999999999
epoch_50,Model-08,Model-07,Model-10,Model-02,Model-05,Model-03,Model-06,Model-04,Model-09,Model-01,0.0579592256192894,0.8787878787878788,0.4999999999999999
epoch_51,Model-07,Model-08,Model-03,Model-02,Model-06,Model-09,Model-01,Model-10,Model-05,Model-04,0.0653990656681514,0.4303030303030303,-0.4999999999999999
epoch_52,Model-02,Model-03,Model-09,Model-01,Model-10,Model-08,Model-07,Model-05,Model-06,Model-04,0.0649263866879046,0.1393939393939394,-0.4999999999999999
epoch_53,Model-03,Model-02,Model-09,Model-01,Model-10,Model-08,Model-07,Model-05,Model-06,Model-04,0.07107923758650819,0.16363636363636364,-0.4999999999999999
epoch_54,Model-03,Model-02,Model-09,Model-01,Model-10,Model-08,Model-07,Model-05,Model-06,Model-04,0.06554950067994166,0.16363636363636364,-0.4999999999999999
epoch_55,Model-02,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-05,Model-06,Model-04,0.06665064297026645,0.01818181818181818,0.9999999999999998
epoch_56,Model-02,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-05,Model-06,Model-04,0.06868912106690307,0.01818181818181818,0.9999999999999998
epoch_57,Model-02,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-05,Model-06,Model-04,0.0673197504595543,0.01818181818181818,0.9999999999999998
epoch_58,Model-02,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-05,Model-06,Model-04,0.06657038230200608,0.01818181818181818,0.9999999999999998
epoch_59,Model-02,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-05,Model-06,Model-04,0.06757659760769456,0.01818181818181818,0.9999999999999998
epoch_60,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,0.1059599684861799,0.030303030303030304,0.9999999999999998
epoch_61,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,0.10542383864273627,0.030303030303030304,0.9999999999999998
epoch_62,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,0.10461221798757712,0.030303030303030304,0.9999999999999998
epoch_63,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,0.09995586703903973,0.030303030303030304,0.9999999999999998
epoch_64,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,0.09976167654494444,0.030303030303030304,0.9999999999999998
epoch_65,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,0.10319567793483535,0.030303030303030304,0.9999999999999998
epoch_66,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,0.10268362933707734,0.030303030303030304,0.9999999999999998
epoch_67,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,0.10577021107450127,0.030303030303030304,0.9999999999999998
epoch_68,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,0.10328504152223468,0.030303030303030304,0.9999999999999998
epoch_69,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,0.10589053544029593,0.030303030303030304,0.9999999999999998
epoch_70,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,0.09818227868775527,0.030303030303030304,0.9999999999999998
epoch_71,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,0.10194182827944556,0.030303030303030304,0.9999999999999998
epoch_72,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,0.1012547903470695,0.030303030303030304,0.9999999999999998
epoch_73,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,0.09739579335351785,0.030303030303030304,0.9999999999999998
epoch_74,Model-09,Model-01,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,0.10077238608710468,0.030303030303030304,0.9999999999999998
epoch_75,Model-09,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,Model-01,0.09871091553755104,0.5636363636363636,0.9999999999999998
epoch_76,Model-09,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,Model-01,0.09877108031262954,0.5636363636363636,0.9999999999999998
epoch_77,Model-09,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,Model-01,0.09798591307053964,0.5636363636363636,0.9999999999999998
epoch_78,Model-09,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,Model-01,0.09648739155506095,0.5636363636363636,0.9999999999999998
epoch_79,Model-09,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,Model-01,0.10248108695012828,0.5636363636363636,0.9999999999999998
epoch_80,Model-09,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,Model-01,0.09875880085118115,0.5636363636363636,0.9999999999999998
epoch_81,Model-09,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,Model-01,0.09866709359859427,0.5636363636363636,0.9999999999999998
epoch_82,Model-09,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,Model-01,0.10048035181562105,0.5636363636363636,0.9999999999999998
epoch_83,Model-09,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,Model-01,0.09650392834283411,0.5636363636363636,0.9999999999999998
epoch_84,Model-09,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,Model-01,0.09739569270114104,0.5636363636363636,0.9999999999999998
epoch_85,Model-09,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,Model-01,0.09508212650939822,0.5636363636363636,0.9999999999999998
epoch_86,Model-09,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,Model-01,0.09649353313446045,0.5636363636363636,0.9999999999999998
epoch_87,Model-09,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,Model-01,0.09682779820201298,0.5636363636363636,0.9999999999999998
epoch_88,Model-09,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,Model-01,0.0967483679180344,0.5636363636363636,0.9999999999999998
epoch_89,Model-09,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,Model-01,0.0988088142896692,0.5636363636363636,0.9999999999999998
epoch_90,Model-09,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,Model-01,0.09939309022451441,0.5636363636363636,0.9999999999999998
epoch_91,Model-09,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,Model-01,0.09675866909014683,0.5636363636363636,0.9999999999999998
epoch_92,Model-09,Model-10,Model-08,Model-03,Model-07,Model-02,Model-05,Model-06,Model-04,Model-01,0.09587829046882688,0.5636363636363636,0.9999999999999998
