epoch,epoch_min_val_loss,correlation_all,correlation_top3
1,0.22117600504557292,0.806060606060606,0.4999999999999999
2,0.13916956375539302,0.8303030303030303,0.4999999999999999
3,0.11723680076003075,0.8545454545454545,0.4999999999999999
4,0.1313599665860335,0.8909090909090909,0.4999999999999999
5,0.09695878269026677,0.8909090909090909,0.4999999999999999
6,0.08239875679463148,0.8909090909090909,0.4999999999999999
7,0.08380534477035205,0.9393939393939394,0.4999999999999999
8,0.08100736157844464,0.8909090909090909,0.4999999999999999
9,0.07666338038320343,0.8666666666666667,0.4999999999999999
10,0.06587336341664195,0.8909090909090909,0.4999999999999999
11,0.061923996582627296,0.9393939393939394,0.4999999999999999
12,0.06920172993761177,0.8909090909090909,0.4999999999999999
13,0.07319437670956055,0.9151515151515152,-0.4999999999999999
14,0.0625721369793173,0.9757575757575757,0.4999999999999999
15,0.056663131323177365,0.9757575757575757,0.4999999999999999
16,0.06403511003001283,0.9515151515151515,0.4999999999999999
17,0.0564555420766895,0.9757575757575757,0.4999999999999999
18,0.0589424762216319,0.9515151515151515,0.4999999999999999
19,0.054483035843858184,0.8666666666666667,0.4999999999999999
20,0.0532635645000264,0.9515151515151515,0.4999999999999999
21,0.05514191878447309,0.9878787878787879,0.9999999999999998
22,0.0560307247696328,0.8787878787878788,0.4999999999999999
23,0.062259586244511105,0.9757575757575757,0.4999999999999999
24,0.059009294623120996,0.9515151515151515,0.4999999999999999
25,0.05630331872077659,0.9515151515151515,0.9999999999999998
26,0.06582485802099108,0.8666666666666667,-0.4999999999999999
27,0.06533916009857785,0.9757575757575757,0.4999999999999999
28,0.05873101617430802,0.9636363636363636,0.9999999999999998
29,0.050342482160320896,0.9636363636363636,0.4999999999999999
30,0.06301643180226287,0.8909090909090909,-0.9999999999999998
31,0.06254055318979469,0.9757575757575757,0.9999999999999998
32,0.05744692298775771,0.9636363636363636,0.9999999999999998
33,0.0711820360449977,1.0,0.9999999999999998
34,0.06445883301886109,0.9757575757575757,0.9999999999999998
35,0.058928559574609005,0.9515151515151515,-0.4999999999999999
36,0.06320172322631212,0.9393939393939394,0.4999999999999999
37,0.054913074403627735,0.9636363636363636,0.9999999999999998
38,0.06244544861266817,0.9636363636363636,-0.4999999999999999
39,0.06133434239879716,0.9393939393939394,-0.9999999999999998
40,0.05855391761684708,0.9393939393939394,0.4999999999999999
41,0.06023389295816499,0.9757575757575757,0.4999999999999999
42,0.061634140189011914,0.9878787878787879,0.4999999999999999
43,0.06520538336768125,0.9515151515151515,-0.4999999999999999
44,0.05304825041846683,0.9393939393939394,0.4999999999999999
45,0.05842231871808569,0.9878787878787879,0.4999999999999999
46,0.055202391694144655,0.9030303030303031,-0.4999999999999999
47,0.05791353406107131,0.9515151515151515,-0.9999999999999998
48,0.06516823634086177,0.8787878787878788,-0.4999999999999999
49,0.05982670966365064,0.9757575757575757,0.4999999999999999
50,0.0579592256192894,0.8787878787878788,0.4999999999999999
51,0.0653990656681514,0.4303030303030303,-0.4999999999999999
52,0.0649263866879046,0.1393939393939394,-0.4999999999999999
53,0.07107923758650819,0.16363636363636364,-0.4999999999999999
54,0.06554950067994166,0.16363636363636364,-0.4999999999999999
55,0.06665064297026645,0.01818181818181818,0.9999999999999998
56,0.06868912106690307,0.01818181818181818,0.9999999999999998
57,0.0673197504595543,0.01818181818181818,0.9999999999999998
58,0.06657038230200608,0.01818181818181818,0.9999999999999998
59,0.06757659760769456,0.01818181818181818,0.9999999999999998
60,0.1059599684861799,0.030303030303030304,0.9999999999999998
61,0.10542383864273627,0.030303030303030304,0.9999999999999998
62,0.10461221798757712,0.030303030303030304,0.9999999999999998
63,0.09995586703903973,0.030303030303030304,0.9999999999999998
64,0.09976167654494444,0.030303030303030304,0.9999999999999998
65,0.10319567793483535,0.030303030303030304,0.9999999999999998
66,0.10268362933707734,0.030303030303030304,0.9999999999999998
67,0.10577021107450127,0.030303030303030304,0.9999999999999998
68,0.10328504152223468,0.030303030303030304,0.9999999999999998
69,0.10589053544029593,0.030303030303030304,0.9999999999999998
70,0.09818227868775527,0.030303030303030304,0.9999999999999998
71,0.10194182827944556,0.030303030303030304,0.9999999999999998
72,0.1012547903470695,0.030303030303030304,0.9999999999999998
73,0.09739579335351785,0.030303030303030304,0.9999999999999998
74,0.10077238608710468,0.030303030303030304,0.9999999999999998
75,0.09871091553755104,0.5636363636363636,0.9999999999999998
76,0.09877108031262954,0.5636363636363636,0.9999999999999998
77,0.09798591307053964,0.5636363636363636,0.9999999999999998
78,0.09648739155506095,0.5636363636363636,0.9999999999999998
79,0.10248108695012828,0.5636363636363636,0.9999999999999998
80,0.09875880085118115,0.5636363636363636,0.9999999999999998
81,0.09866709359859427,0.5636363636363636,0.9999999999999998
82,0.10048035181562105,0.5636363636363636,0.9999999999999998
83,0.09650392834283411,0.5636363636363636,0.9999999999999998
84,0.09739569270114104,0.5636363636363636,0.9999999999999998
85,0.09508212650939822,0.5636363636363636,0.9999999999999998
86,0.09649353313446045,0.5636363636363636,0.9999999999999998
87,0.09682779820201298,0.5636363636363636,0.9999999999999998
88,0.0967483679180344,0.5636363636363636,0.9999999999999998
89,0.0988088142896692,0.5636363636363636,0.9999999999999998
90,0.09939309022451441,0.5636363636363636,0.9999999999999998
91,0.09675866909014683,0.5636363636363636,0.9999999999999998
92,0.09587829046882688,0.5636363636363636,0.9999999999999998
