epoch,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10,epoch_min_val_loss,correlation_all,correlation_top3
epoch_33,Model-07,Model-03,Model-10,Model-02,Model-06,Model-05,Model-09,Model-01,Model-08,Model-04,0.9023761028051376,0.7090909090909091,-0.4999999999999999
epoch_34,Model-10,Model-03,Model-06,Model-07,Model-05,Model-09,Model-08,Model-02,Model-01,Model-04,0.9205336508154869,0.9151515151515152,0.4999999999999999
epoch_35,Model-07,Model-03,Model-10,Model-05,Model-09,Model-04,Model-01,Model-06,Model-02,Model-08,0.8992444062232972,0.5636363636363636,-0.4999999999999999
epoch_36,Model-03,Model-07,Model-10,Model-06,Model-09,Model-05,Model-02,Model-01,Model-04,Model-08,0.9052483968436718,0.7454545454545455,-0.9999999999999998
epoch_37,Model-03,Model-10,Model-07,Model-09,Model-05,Model-06,Model-08,Model-02,Model-01,Model-04,0.9313213285803795,0.8424242424242424,-0.4999999999999999
epoch_38,Model-07,Model-10,Model-06,Model-03,Model-09,Model-05,Model-02,Model-08,Model-04,Model-01,0.8836104157567024,0.8424242424242424,0.4999999999999999
epoch_39,Model-07,Model-10,Model-03,Model-08,Model-05,Model-09,Model-02,Model-06,Model-01,Model-04,0.8915003615617753,0.8424242424242424,0.4999999999999999
epoch_40,Model-07,Model-10,Model-08,Model-03,Model-06,Model-05,Model-09,Model-02,Model-01,Model-04,0.933168985247612,0.9393939393939394,0.4999999999999999
epoch_41,Model-10,Model-03,Model-07,Model-06,Model-09,Model-05,Model-08,Model-02,Model-01,Model-04,0.8712502413988114,0.9272727272727272,0.4999999999999999
epoch_42,Model-10,Model-06,Model-07,Model-08,Model-05,Model-01,Model-09,Model-02,Model-03,Model-04,0.9298260632902384,0.7090909090909091,0.9999999999999998
epoch_43,Model-10,Model-06,Model-03,Model-05,Model-01,Model-09,Model-07,Model-02,Model-04,Model-08,0.8729211901128292,0.5757575757575758,0.4999999999999999
epoch_44,Model-07,Model-03,Model-10,Model-09,Model-06,Model-05,Model-08,Model-01,Model-02,Model-04,0.9146355147659778,0.8787878787878788,-0.4999999999999999
epoch_45,Model-07,Model-06,Model-08,Model-10,Model-03,Model-09,Model-05,Model-01,Model-02,Model-04,0.9156782451272011,0.8545454545454545,0.4999999999999999
epoch_46,Model-10,Model-03,Model-07,Model-06,Model-08,Model-05,Model-02,Model-09,Model-04,Model-01,0.9107845924049616,0.9272727272727272,0.4999999999999999
epoch_47,Model-03,Model-07,Model-10,Model-08,Model-09,Model-04,Model-01,Model-02,Model-05,Model-06,0.8909745274484158,0.5393939393939394,-0.9999999999999998
epoch_48,Model-10,Model-07,Model-05,Model-08,Model-03,Model-09,Model-01,Model-06,Model-02,Model-04,0.8940632756054402,0.806060606060606,0.9999999999999998
epoch_49,Model-10,Model-08,Model-03,Model-06,Model-04,Model-02,Model-05,Model-07,Model-09,Model-01,0.8601553133130073,0.4666666666666667,0.4999999999999999
epoch_50,Model-10,Model-03,Model-06,Model-07,Model-09,Model-01,Model-05,Model-04,Model-02,Model-08,0.9088737132400274,0.7333333333333333,0.4999999999999999
epoch_51,Model-10,Model-03,Model-09,Model-08,Model-07,Model-06,Model-05,Model-01,Model-02,Model-04,0.8807217170670628,0.806060606060606,0.4999999999999999
epoch_52,Model-10,Model-03,Model-08,Model-07,Model-06,Model-05,Model-09,Model-01,Model-02,Model-04,0.9020059975981712,0.9393939393939394,0.4999999999999999
epoch_53,Model-10,Model-03,Model-07,Model-06,Model-08,Model-05,Model-09,Model-01,Model-02,Model-04,0.9001458722352982,0.9878787878787879,0.4999999999999999
epoch_54,Model-10,Model-03,Model-07,Model-06,Model-08,Model-05,Model-09,Model-01,Model-02,Model-04,0.934799614045769,0.9878787878787879,0.4999999999999999
epoch_55,Model-10,Model-07,Model-03,Model-06,Model-08,Model-05,Model-09,Model-01,Model-02,Model-04,0.9966994743421673,1.0,0.9999999999999998
epoch_56,Model-10,Model-07,Model-03,Model-06,Model-08,Model-05,Model-09,Model-01,Model-02,Model-04,0.9142456858605147,1.0,0.9999999999999998
